ARM,system_organ_class,ae_count
Xanomeline High Dose,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,124
Xanomeline Low Dose,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,120
Xanomeline Low Dose,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,118
Xanomeline High Dose,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,111
Placebo,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,48
Placebo,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,47
Xanomeline High Dose,NERVOUS SYSTEM DISORDERS,45
Xanomeline Low Dose,NERVOUS SYSTEM DISORDERS,40
Xanomeline High Dose,GASTROINTESTINAL DISORDERS,37
Placebo,INFECTIONS AND INFESTATIONS,35
Xanomeline High Dose,CARDIAC DISORDERS,34
Xanomeline Low Dose,CARDIAC DISORDERS,30
Placebo,CARDIAC DISORDERS,27
Placebo,GASTROINTESTINAL DISORDERS,26
Xanomeline Low Dose,GASTROINTESTINAL DISORDERS,24
